"reg_id";"official_title_uk";"alarms_date";"alarms_quantity"
"1";"Чернівецька область";"2022-02-24";"0"
"1";"Чернівецька область";"2022-02-25";"0"
"1";"Чернівецька область";"2022-02-26";"0"
"1";"Чернівецька область";"2022-02-27";"1"
"1";"Чернівецька область";"2022-02-28";"3"
"1";"Чернівецька область";"2022-03-01";"0"
"1";"Чернівецька область";"2022-03-02";"3"
"1";"Чернівецька область";"2022-03-03";"1"
"1";"Чернівецька область";"2022-03-04";"1"
"1";"Чернівецька область";"2022-03-05";"0"
"1";"Чернівецька область";"2022-03-06";"0"
"1";"Чернівецька область";"2022-03-07";"1"
"1";"Чернівецька область";"2022-03-08";"0"
"1";"Чернівецька область";"2022-03-09";"0"
"1";"Чернівецька область";"2022-03-10";"0"
"1";"Чернівецька область";"2022-03-11";"0"
"1";"Чернівецька область";"2022-03-12";"1"
"1";"Чернівецька область";"2022-03-13";"1"
"1";"Чернівецька область";"2022-03-14";"1"
"1";"Чернівецька область";"2022-03-15";"1"
"1";"Чернівецька область";"2022-03-16";"0"
"1";"Чернівецька область";"2022-03-17";"1"
"1";"Чернівецька область";"2022-03-18";"0"
"1";"Чернівецька область";"2022-03-19";"0"
"1";"Чернівецька область";"2022-03-20";"0"
"1";"Чернівецька область";"2022-03-21";"1"
"1";"Чернівецька область";"2022-03-22";"5"
"1";"Чернівецька область";"2022-03-23";"0"
"1";"Чернівецька область";"2022-03-24";"0"
"1";"Чернівецька область";"2022-03-25";"1"
"1";"Чернівецька область";"2022-03-26";"2"
"1";"Чернівецька область";"2022-03-27";"1"
"1";"Чернівецька область";"2022-03-28";"1"
"1";"Чернівецька область";"2022-03-29";"4"
"1";"Чернівецька область";"2022-03-30";"0"
"1";"Чернівецька область";"2022-03-31";"1"
"1";"Чернівецька область";"2022-04-01";"1"
"1";"Чернівецька область";"2022-04-02";"1"
"1";"Чернівецька область";"2022-04-03";"1"
"1";"Чернівецька область";"2022-04-04";"2"
"1";"Чернівецька область";"2022-04-05";"1"
"1";"Чернівецька область";"2022-04-06";"0"
"1";"Чернівецька область";"2022-04-07";"0"
"1";"Чернівецька область";"2022-04-08";"0"
"1";"Чернівецька область";"2022-04-09";"0"
"1";"Чернівецька область";"2022-04-10";"0"
"1";"Чернівецька область";"2022-04-11";"1"
"1";"Чернівецька область";"2022-04-12";"0"
"1";"Чернівецька область";"2022-04-13";"0"
"1";"Чернівецька область";"2022-04-14";"1"
"1";"Чернівецька область";"2022-04-15";"2"
"1";"Чернівецька область";"2022-04-16";"2"
"1";"Чернівецька область";"2022-04-17";"1"
"1";"Чернівецька область";"2022-04-18";"3"
"1";"Чернівецька область";"2022-04-19";"1"
