Date,Time,Digital code,Letter code,Unit,Currency name,"Official hrivnya exchange rates, UAH"
01.01.2018,00.00,978,EUR,100,,3349.5424
02.01.2018,00.00,978,EUR,100,,3349.5424
03.01.2018,00.00,978,EUR,100,,3349.5424
04.01.2018,00.00,978,EUR,100,,3353.2796
05.01.2018,00.00,978,EUR,100,,3379.8126
06.01.2018,00.00,978,EUR,100,,3379.8126
07.01.2018,00.00,978,EUR,100,,3379.8126
08.01.2018,00.00,978,EUR,100,,3379.8126
09.01.2018,00.00,978,EUR,100,,3397.091
10.01.2018,00.00,978,EUR,100,,3365.2111
11.01.2018,00.00,978,EUR,100,,3397.1913
12.01.2018,00.00,978,EUR,100,,3418.3211
13.01.2018,00.00,978,EUR,100,,3418.3211
14.01.2018,00.00,978,EUR,100,,3418.3211
15.01.2018,00.00,978,EUR,100,,3463.4916
16.01.2018,00.00,978,EUR,100,,3507.2521
17.01.2018,00.00,978,EUR,100,,3504.21
18.01.2018,00.00,978,EUR,100,,3498.1281
19.01.2018,00.00,978,EUR,100,,3520.9253
20.01.2018,00.00,978,EUR,100,,3520.9253
21.01.2018,00.00,978,EUR,100,,3520.9253
22.01.2018,00.00,978,EUR,100,,3534.9322
23.01.2018,00.00,978,EUR,100,,3534.1137
24.01.2018,00.00,978,EUR,100,,3535.6522
25.01.2018,00.00,978,EUR,100,,3565.4501
26.01.2018,00.00,978,EUR,100,,3566.4229
27.01.2018,00.00,978,EUR,100,,3566.4229
28.01.2018,00.00,978,EUR,100,,3566.4229
29.01.2018,00.00,978,EUR,100,,3550.3086
30.01.2018,00.00,978,EUR,100,,3496.6361
31.01.2018,00.00,978,EUR,100,,3478.9719
01.02.2018,00.00,978,EUR,100,,3468.4639
02.02.2018,00.00,978,EUR,100,,3472.2563
03.02.2018,00.00,978,EUR,100,,3472.2563
04.02.2018,00.00,978,EUR,100,,3472.2563
05.02.2018,00.00,978,EUR,100,,3483.6614
06.02.2018,00.00,978,EUR,100,,3451.1605
07.02.2018,00.00,978,EUR,100,,3385.6502
08.02.2018,00.00,978,EUR,100,,3346.0206
09.02.2018,00.00,978,EUR,100,,3323.2353
10.02.2018,00.00,978,EUR,100,,3323.2353
11.02.2018,00.00,978,EUR,100,,3323.2353
12.02.2018,00.00,978,EUR,100,,3320.8954
13.02.2018,00.00,978,EUR,100,,3291.4342
14.02.2018,00.00,978,EUR,100,,3292.8469
15.02.2018,00.00,978,EUR,100,,3291.33
16.02.2018,00.00,978,EUR,100,,3343.1024
17.02.2018,00.00,978,EUR,100,,3343.1024
18.02.2018,00.00,978,EUR,100,,3343.1024
19.02.2018,00.00,978,EUR,100,,3364.1444
20.02.2018,00.00,978,EUR,100,,3352.1795
21.02.2018,00.00,978,EUR,100,,3340.8014
22.02.2018,00.00,978,EUR,100,,3322.7674
23.02.2018,00.00,978,EUR,100,,3323.3394
24.02.2018,00.00,978,EUR,100,,3323.3394
25.02.2018,00.00,978,EUR,100,,3323.3394
26.02.2018,00.00,978,EUR,100,,3319.335
27.02.2018,00.00,978,EUR,100,,3327.2144
28.02.2018,00.00,978,EUR,100,,3314.8962
01.03.2018,00.00,978,EUR,100,,3274.0257
02.03.2018,00.00,978,EUR,100,,3245.9444
03.03.2018,00.00,978,EUR,100,,3267.1005
04.03.2018,00.00,978,EUR,100,,3267.1005
05.03.2018,00.00,978,EUR,100,,3267.1005
06.03.2018,00.00,978,EUR,100,,3259.1496
07.03.2018,00.00,978,EUR,100,,3270.1691
08.03.2018,00.00,978,EUR,100,,3270.1691
09.03.2018,00.00,978,EUR,100,,3270.1691
10.03.2018,00.00,978,EUR,100,,3270.1691
11.03.2018,00.00,978,EUR,100,,3270.1691
12.03.2018,00.00,978,EUR,100,,3240.0861
13.03.2018,00.00,978,EUR,100,,3189.2458
14.03.2018,00.00,978,EUR,100,,3207.8685
15.03.2018,00.00,978,EUR,100,,3217.6689
16.03.2018,00.00,978,EUR,100,,3242.3082
17.03.2018,00.00,978,EUR,100,,3242.3082
18.03.2018,00.00,978,EUR,100,,3242.3082
19.03.2018,00.00,978,EUR,100,,3241.7945
20.03.2018,00.00,978,EUR,100,,3254.0127
21.03.2018,00.00,978,EUR,100,,3228.7252
22.03.2018,00.00,978,EUR,100,,3228.8805
23.03.2018,00.00,978,EUR,100,,3233.3994
24.03.2018,00.00,978,EUR,100,,3233.3994
25.03.2018,00.00,978,EUR,100,,3233.3994
26.03.2018,00.00,978,EUR,100,,3242.7359
27.03.2018,00.00,978,EUR,100,,3264.6378
28.03.2018,00.00,978,EUR,100,,3255.664
29.03.2018,00.00,978,EUR,100,,3273.7228
30.03.2018,00.00,978,EUR,100,,3270.4238
31.03.2018,00.00,978,EUR,100,,3270.4238
01.04.2018,00.00,978,EUR,100,,3270.4238
02.04.2018,00.00,978,EUR,100,,3241.2911
03.04.2018,00.00,978,EUR,100,,3223.2919
04.04.2018,00.00,978,EUR,100,,3240.6432
05.04.2018,00.00,978,EUR,100,,3224.0529
06.04.2018,00.00,978,EUR,100,,3195.7574
07.04.2018,00.00,978,EUR,100,,3195.7574
08.04.2018,00.00,978,EUR,100,,3195.7574
09.04.2018,00.00,978,EUR,100,,3195.7574
10.04.2018,00.00,978,EUR,100,,3184.1393
11.04.2018,00.00,978,EUR,100,,3210.8349
12.04.2018,00.00,978,EUR,100,,3210.6649
13.04.2018,00.00,978,EUR,100,,3202.2979
14.04.2018,00.00,978,EUR,100,,3202.2979
15.04.2018,00.00,978,EUR,100,,3202.2979
16.04.2018,00.00,978,EUR,100,,3217.805
17.04.2018,00.00,978,EUR,100,,3227.2438
18.04.2018,00.00,978,EUR,100,,3223.0606
19.04.2018,00.00,978,EUR,100,,3239.186
20.04.2018,00.00,978,EUR,100,,3247.2987
21.04.2018,00.00,978,EUR,100,,3247.2987
22.04.2018,00.00,978,EUR,100,,3247.2987
23.04.2018,00.00,978,EUR,100,,3222.306
24.04.2018,00.00,978,EUR,100,,3197.2453
25.04.2018,00.00,978,EUR,100,,3197.0293
26.04.2018,00.00,978,EUR,100,,3201.0659
27.04.2018,00.00,978,EUR,100,,3191.6721
28.04.2018,00.00,978,EUR,100,,3191.6721
29.04.2018,00.00,978,EUR,100,,3191.6721
30.04.2018,00.00,978,EUR,100,,3191.6721
01.05.2018,00.00,978,EUR,100,,3191.6721
02.05.2018,00.00,978,EUR,100,,3161.8147
03.05.2018,00.00,978,EUR,100,,3140.4389
04.05.2018,00.00,978,EUR,100,,3140.8811
05.05.2018,00.00,978,EUR,100,,3148.5079
06.05.2018,00.00,978,EUR,100,,3148.5079
07.05.2018,00.00,978,EUR,100,,3148.5079
08.05.2018,00.00,978,EUR,100,,3129.0585
09.05.2018,00.00,978,EUR,100,,3129.0585
10.05.2018,00.00,978,EUR,100,,3112.1998
11.05.2018,00.00,978,EUR,100,,3111.1048
12.05.2018,00.00,978,EUR,100,,3111.1048
13.05.2018,00.00,978,EUR,100,,3111.1048
14.05.2018,00.00,978,EUR,100,,3126.4704
15.05.2018,00.00,978,EUR,100,,3137.4086
16.05.2018,00.00,978,EUR,100,,3114.6302
17.05.2018,00.00,978,EUR,100,,3088.3708
18.05.2018,00.00,978,EUR,100,,3091.5895
19.05.2018,00.00,978,EUR,100,,3091.5895
20.05.2018,00.00,978,EUR,100,,3091.5895
21.05.2018,00.00,978,EUR,100,,3080.4915
22.05.2018,00.00,978,EUR,100,,3067.1723
23.05.2018,00.00,978,EUR,100,,3074.8331
24.05.2018,00.00,978,EUR,100,,3053.6259
25.05.2018,00.00,978,EUR,100,,3061.8896
26.05.2018,00.00,978,EUR,100,,3061.8896
27.05.2018,00.00,978,EUR,100,,3061.8896
28.05.2018,00.00,978,EUR,100,,3061.8896
29.05.2018,00.00,978,EUR,100,,3052.953
30.05.2018,00.00,978,EUR,100,,3016.5158
31.05.2018,00.00,978,EUR,100,,3040.1182
01.06.2018,00.00,978,EUR,100,,3056.049
02.06.2018,00.00,978,EUR,100,,3056.049
03.06.2018,00.00,978,EUR,100,,3056.049
04.06.2018,00.00,978,EUR,100,,3047.2361
05.06.2018,00.00,978,EUR,100,,3067.2155
06.06.2018,00.00,978,EUR,100,,3053.7375
07.06.2018,00.00,978,EUR,100,,3078.0024
08.06.2018,00.00,978,EUR,100,,3097.6799
09.06.2018,00.00,978,EUR,100,,3097.6799
10.06.2018,00.00,978,EUR,100,,3097.6799
