Date;Diesel
02.01.2019;29,1
03.01.2019;29,08
04.01.2019;29,04
08.01.2019;28,59
09.01.2019;28,57
10.01.2019;28,57
11.01.2019;28,56
14.01.2019;28,56
15.01.2019;28,53
16.01.2019;28,51
17.01.2019;28,52
18.01.2019;28,5
21.01.2019;28,5
22.01.2019;28,49
23.01.2019;28,48
24.01.2019;28,46
25.01.2019;28,46
28.01.2019;28,45
29.01.2019;28,45
30.01.2019;28,44
31.01.2019;28,44
01.02.2019;28,44
04.02.2019;28,42
05.02.2019;28,41
06.02.2019;28,39
07.02.2019;28,39
08.02.2019;28,4
11.02.2019;28,39
12.02.2019;28,39
13.02.2019;28,38
14.02.2019;28,39
15.02.2019;28,35
18.02.2019;28,35
19.02.2019;28,35
20.02.2019;28,33
21.02.2019;28,34
22.02.2019;28,33
25.02.2019;28,33
26.02.2019;28,33
27.02.2019;28,33
28.02.2019;28,33
01.03.2019;28,33
04.03.2019;28,33
05.03.2019;28,33
06.03.2019;28,33
07.03.2019;28,33
11.03.2019;28,33
12.03.2019;28,33
13.03.2019;28,33
14.03.2019;28,33
15.03.2019;28,33
18.03.2019;28,33
19.03.2019;28,33
20.03.2019;28,32
21.03.2019;28,33
22.03.2019;28,33
25.03.2019;28,33
26.03.2019;28,33
27.03.2019;28,33
28.03.2019;28,33
29.03.2019;28,33
01.04.2019;28,34
02.04.2019;28,34
03.04.2019;28,34
04.04.2019;28,34
05.04.2019;28,36
08.04.2019;28,37
09.04.2019;28,37
10.04.2019;28,37
11.04.2019;28,37
12.04.2019;28,36
15.04.2019;28,36
16.04.2019;28,36
17.04.2019;28,36
18.04.2019;28,36
19.04.2019;28,37
22.04.2019;28,51
23.04.2019;28,52
24.04.2019;29,03
25.04.2019;29,19
26.04.2019;29,38
02.05.2019;29,88
03.05.2019;29,92
06.05.2019;29,93
07.05.2019;29,93
08.05.2019;29,93
10.05.2019;29,92
11.05.2019;29,93
13.05.2019;29,93
14.05.2019;29,9
15.05.2019;29,92
16.05.2019;29,92
17.05.2019;29,91
20.05.2019;29,9
21.05.2019;29,9
22.05.2019;29,87
23.05.2019;29,87
24.05.2019;29,86
27.05.2019;29,86
28.05.2019;29,85
29.05.2019;29,85
30.05.2019;29,86
31.05.2019;29,83
03.06.2019;29,83
04.06.2019;29,83
05.06.2019;29,82
06.06.2019;29,82
07.06.2019;29,82
10.06.2019;29,81
11.06.2019;29,81
12.06.2019;29,76
13.06.2019;29,76
14.06.2019;29,76
18.06.2019;29,75
20.06.2019;29,73
21.06.2019;29,73
24.06.2019;29,73
25.06.2019;29,73
26.06.2019;29,71
27.06.2019;29,69
01.07.2019;29,66
02.07.2019;29,5
03.07.2019;29,38
04.07.2019;28,9
05.07.2019;28,87
08.07.2019;28,84
09.07.2019;28,82
10.07.2019;28,8
11.07.2019;28,79
12.07.2019;28,37
15.07.2019;28,36
16.07.2019;28,36
17.07.2019;28,34
18.07.2019;28,33
19.07.2019;28,33
22.07.2019;28,33
23.07.2019;28,33
24.07.2019;28,32
25.07.2019;28,33
26.07.2019;28,32
29.07.2019;28,32
30.07.2019;28,32
31.07.2019;28,31
01.08.2019;28,32
05.08.2019;28,32
06.08.2019;28,31
07.08.2019;28,31
08.08.2019;28,31
09.08.2019;28,29
12.08.2019;28,29
13.08.2019;28,29
14.08.2019;28,28
15.08.2019;28,27
16.08.2019;28,28
19.08.2019;28,24
20.08.2019;28,21
21.08.2019;28,18
22.08.2019;28,18
23.08.2019;28,18
27.08.2019;28,18
28.08.2019;28,17
29.08.2019;28,19
30.08.2019;28,19
02.09.2019;28,18
03.09.2019;28,18
04.09.2019;28,15
05.09.2019;28,15
06.09.2019;28,15
09.09.2019;28,15
10.09.2019;28,16
11.09.2019;28,16
12.09.2019;28,18
13.09.2019;28,19
16.09.2019;28,2
17.09.2019;28,21
18.09.2019;28,21
19.09.2019;28,23
20.09.2019;28,24
23.09.2019;28,24
24.09.2019;28,24
25.09.2019;28,24
26.09.2019;28,25
27.09.2019;28,25
30.09.2019;28,25
01.10.2019;28,25
02.10.2019;28,22
03.10.2019;28,22
04.10.2019;28,22
07.10.2019;28,21
08.10.2019;28,21
09.10.2019;28,2
10.10.2019;28,2
11.10.2019;28,2
15.10.2019;28,2
16.10.2019;28,2
17.10.2019;28,2
18.10.2019;28,19
21.10.2019;28,19
22.10.2019;28,19
23.10.2019;28,19
24.10.2019;28,19
25.10.2019;28,19
28.10.2019;28,19
29.10.2019;28,19
30.10.2019;28,18
31.10.2019;28,18
01.11.2019;28,18
04.11.2019;28,18
05.11.2019;28,18
06.11.2019;28,17
07.11.2019;28,18
08.11.2019;28,17
11.11.2019;28,16
12.11.2019;28,16
13.11.2019;28,16
14.11.2019;28,16
15.11.2019;28,16
18.11.2019;28,16
19.11.2019;28,16
20.11.2019;28,15
21.11.2019;28,15
22.11.2019;28,15
25.11.2019;28,15
26.11.2019;28,15
27.11.2019;28,15
28.11.2019;28,15
29.11.2019;28,15
02.12.2019;28,15
03.12.2019;28,15
04.12.2019;28,15
05.12.2019;28,12
06.12.2019;28,06
09.12.2019;28,05
10.12.2019;28,04
11.12.2019;27,97
12.12.2019;27,9
13.12.2019;27,87
16.12.2019;27,85
17.12.2019;27,85
18.12.2019;27,81
19.12.2019;27,75
20.12.2019;27,73
23.12.2019;27,66
24.12.2019;27,09
26.12.2019;26,87
27.12.2019;26,8
03.01.2020;26,74
08.01.2020;26,69
09.01.2020;26,69
10.01.2020;26,69
13.01.2020;26,7
14.01.2020;26,7
15.01.2020;26,64
16.01.2020;26,2
17.01.2020;26,2
20.01.2020;26,19
21.01.2020;26,18
22.01.2020;26,17
23.01.2020;26,18
24.01.2020;26,18
27.01.2020;26,18
28.01.2020;26,17
29.01.2020;26,17
30.01.2020;26,17
31.01.2020;26,13
03.02.2020;26,12
04.02.2020;26,12
05.02.2020;26,11
06.02.2020;26,09
07.02.2020;26,08
10.02.2020;26,08
11.02.2020;26,11
12.02.2020;26,02
13.02.2020;25,97
14.02.2020;25,95
17.02.2020;25,94
18.02.2020;25,94
19.02.2020;25,93
20.02.2020;25,93
21.02.2020;25,93
24.02.2020;25,93
25.02.2020;25,92
26.02.2020;25,92
27.02.2020;25,9
28.02.2020;25,88
02.03.2020;25,88
